Event,Time,Session,ID,Time2
DC_DD,0.2,41,1,0.2000000
DD_DC,0.35,41,2,0.3500000
DC_DD,0.4,41,3,0.4000000
PD_PC,0.416666667,41,4,0.4166667
PC_PD,0.433333333,41,5,0.4333333
SD_SC,0.6,41,6,0.6000000
SC_SD,0.633333333,41,7,0.6333333
EC_ED,0.666666667,41,8,0.6666667
DC_DD,0.666666667,41,9,0.6666668
PC_PD,0.733333333,41,10,0.7333333
DD_DC,0.75,41,11,0.7500000
PC_PD,0.833333333,41,12,0.8333333
DD_DC,0.85,41,13,0.8500000
PD_PC,0.9,41,14,0.9000000
PC_PD,0.916666667,41,15,0.9166667
PC_PD,0.95,41,16,0.9500000
DC_DD,0.966666667,41,17,0.9666667
DD_DC,1.083333333,41,18,1.0833333
DC_DD,1.083333333,41,19,1.0833334
PC_PD,1.2,41,20,1.2000000
PD_PC,1.25,41,21,1.2500000
DD_DC,1.266666667,41,22,1.2666667
SD_SC,1.383333333,41,23,1.3833333
DD_DC,1.383333333,41,24,1.3833334
DC_DD,1.4,41,25,1.4000000
SC_SD,1.45,41,26,1.4500000
DC_DD,1.5,41,27,1.5000000
SD_SC,1.516666667,41,28,1.5166667
DD_DC,1.683333333,41,29,1.6833333
PD_PC,1.733333333,41,30,1.7333333
PD_PC,1.75,41,31,1.7500000
PC_PD,1.833333333,41,32,1.8333333
DD_DC,1.933333333,41,33,1.9333333
SC_SD,1.966666667,41,34,1.9666667
SD_SC,2.05,41,35,2.0500000
DD_DC,2.133333333,41,36,2.1333333
DC_DD,2.183333333,41,37,2.1833333
SC_SD,2.216666667,41,38,2.2166667
DC_DD,2.3,41,39,2.3000000
DD_DC,2.3,41,40,2.3000001
SD_SC,2.333333333,41,41,2.3333333
SC_SD,2.416666667,41,42,2.4166667
DD_DC,2.433333333,41,43,2.4333333
SC_SD,2.45,41,44,2.4500000
DD_DC,2.466666667,41,45,2.4666667
SD_SC,2.55,41,46,2.5500000
DC_DD,2.583333333,41,47,2.5833333
PD_PC,2.6,41,48,2.6000000
SC_SD,2.616666667,41,49,2.6166667
PD_PC,2.633333333,41,50,2.6333333
EC_ED,2.65,41,51,2.6500000
SC_SD,2.65,41,52,2.6500001
DC_DD,2.7,41,53,2.7000000
SC_SD,2.7,41,54,2.7000001
ED_EC,2.716666667,41,55,2.7166667
DD_DC,2.766666667,41,56,2.7666667
DC_DD,2.8,41,57,2.8000000
PC_PD,2.883333333,41,58,2.8833333
EC_ED,2.916666667,41,59,2.9166667
PD_PC,2.916666667,41,60,2.9166668
DC_DD,2.95,41,61,2.9500000
SC_SD,3.066666667,41,62,3.0666667
ED_EC,3.083333333,41,63,3.0833333
DD_DC,3.083333333,41,64,3.0833334
DC_DD,3.133333333,41,65,3.1333333
DD_DC,3.283333333,41,66,3.2833333
EC_ED,3.35,41,67,3.3500000
DD_DC,3.433333333,41,68,3.4333333
PD_PC,3.483333333,41,69,3.4833333
DC_DD,3.5,41,70,3.5000000
ED_EC,3.51,41,71,3.5100000
DD_DC,3.566666667,41,72,3.5666667
PC_PD,3.65,41,73,3.6500000
EC_ED,3.65,41,74,3.6500001
DD_DC,3.7,41,75,3.7000000
PD_PC,3.7,41,76,3.7000001
SD_SC,3.733333333,41,77,3.7333333
SC_SD,3.766666667,41,78,3.7666667
DC_DD,3.8,41,79,3.8000000
SD_SC,3.9,41,80,3.9000000
PC_PD,3.916666667,41,81,3.9166667
DD_DC,3.916666667,41,82,3.9166668
DC_DD,4.083333333,41,83,4.0833333
PC_PD,4.083333333,41,84,4.0833334
PD_PC,4.116666667,41,85,4.1166667
DC_DD,4.166666667,41,86,4.1666667
DD_DC,4.233333333,41,87,4.2333333
DC_DD,4.3,41,88,4.3000000
DD_DC,4.366666667,41,89,4.3666667
DC_DD,4.383333333,41,90,4.3833333
DD_DC,4.45,41,91,4.4500000
SC_SD,4.483333333,41,92,4.4833333
DC_DD,4.516666667,41,93,4.5166667
PD_PC,4.516666667,41,94,4.5166668
DD_DC,4.55,41,95,4.5500000
SD_SC,4.566666667,41,96,4.5666667
SC_SD,4.6,41,97,4.6000000
PD_PC,4.633333333,41,98,4.6333333
PD_PC,4.65,41,99,4.6500000
PC_PD,4.666666667,41,100,4.6666667
PC_PD,4.7,41,101,4.7000000
SD_SC,4.716666667,41,102,4.7166667
DD_DC,4.733333333,41,103,4.7333333
PC_PD,4.816666667,41,104,4.8166667
SD_SC,4.833333333,41,105,4.8333333
PD_PC,4.866666667,41,106,4.8666667
DC_DD,4.916666667,41,107,4.9166667
DD_DC,4.933333333,41,108,4.9333333
PC_PD,4.95,41,109,4.9500000
SD_SC,4.983333333,41,110,4.9833333
SD_SC,5.066666667,41,111,5.0666667
PD_PC,5.083333333,41,112,5.0833333
SC_SD,5.1,41,113,5.1000000
PD_PC,5.533333333,41,114,5.5333333
PC_PD,5.6,41,115,5.6000000
DC_DD,5.666666667,41,116,5.6666667
EC_ED,5.683333333,41,117,5.6833333
DD_DC,5.7,41,118,5.7000000
SC_SD,5.716666667,41,119,5.7166667
ED_EC,5.733333333,41,120,5.7333333
PC_PD,5.766666667,41,121,5.7666667
DC_DD,5.8,41,122,5.8000000
PD_PC,5.85,41,123,5.8500000
DD_DC,5.9,41,124,5.9000000
PC_PD,5.9,41,125,5.9000001
PC_PD,5.966666667,41,126,5.9666667
DC_DD,6.066666667,41,127,6.0666667
PD_PC,6.116666667,41,128,6.1166667
DD_DC,6.15,41,129,6.1500000
SD_SC,6.25,41,130,6.2500000
DD_DC,6.266666667,41,131,6.2666667
SC_SD,6.283333333,41,132,6.2833333
PC_PD,6.366666667,41,133,6.3666667
SC_SD,6.366666667,41,134,6.3666668
SD_SC,6.416666667,41,135,6.4166667
PC_PD,6.533333333,41,136,6.5333333
DC_DD,6.583333333,41,137,6.5833333
DD_DC,6.6,41,138,6.6000000
SC_SD,6.616666667,41,139,6.6166667
DD_DC,6.683333333,41,140,6.6833333
PD_PC,6.7,41,141,6.7000000
DD_DC,6.816666667,41,142,6.8166667
PD_PC,6.816666667,41,143,6.8166668
SC_SD,6.866666667,41,144,6.8666667
SD_SC,6.866666667,41,145,6.8666668
PC_PD,7.016666667,41,146,7.0166667
DD_DC,7.033333333,41,147,7.0333333
SC_SD,7.083333333,41,148,7.0833333
DD_DC,7.116666667,41,149,7.1166667
PD_PC,7.133333333,41,150,7.1333333
DD_DC,7.2,41,151,7.2000000
PC_PD,7.216666667,41,152,7.2166667
PD_PC,7.216666667,41,153,7.2166668
SD_SC,7.233333333,41,154,7.2333333
SC_SD,7.25,41,155,7.2500000
DC_DD,7.266666667,41,156,7.2666667
DD_DC,7.316666667,41,157,7.3166667
DC_DD,7.366666667,41,158,7.3666667
SD_SC,7.383333333,41,159,7.3833333
DD_DC,7.416666667,41,160,7.4166667
SD_SC,7.433333333,41,161,7.4333333
PD_PC,7.516666667,41,162,7.5166667
EC_ED,7.533333333,41,163,7.5333333
SD_SC,7.566666667,41,164,7.5666667
PC_PD,7.583333333,41,165,7.5833333
ED_EC,7.633333333,41,166,7.6333333
DC_DD,7.7,41,167,7.7000000
DD_DC,7.733333333,41,168,7.7333333
SC_SD,7.766666667,41,169,7.7666667
PC_PD,7.85,41,170,7.8500000
SC_SD,7.966666667,41,171,7.9666667
SD_SC,8.016666667,41,172,8.0166667
SD_SC,8.066666667,41,173,8.0666667
SD_SC,8.116666667,41,174,8.1166667
SD_SC,8.233333333,41,175,8.2333333
SD_SC,8.45,41,176,8.4500000
PC_PD,8.5,41,177,8.5000000
DC_DD,8.633333333,41,178,8.6333333
PC_PD,8.683333333,41,179,8.6833333
SC_SD,8.783333333,41,180,8.7833333
PD_PC,8.85,41,181,8.8500000
DC_DD,8.933333333,41,182,8.9333333
PD_PC,8.933333333,41,183,8.9333334
SD_SC,8.983333333,41,184,8.9833333
PC_PD,8.983333333,41,185,8.9833334
SC_SD,9.016666667,41,186,9.0166667
SD_SC,9.116666667,41,187,9.1166667
DD_DC,9.133333333,41,188,9.1333333
DD_DC,9.216666667,41,189,9.2166667
PC_PD,9.216666667,41,190,9.2166668
DC_DD,9.233333333,41,191,9.2333333
SD_SC,9.266666667,41,192,9.2666667
PD_PC,9.266666667,41,193,9.2666668
SC_SD,9.4,41,194,9.4000000
SD_SC,9.516666667,41,195,9.5166667
SD_SC,9.533333333,41,196,9.5333333
PD_PC,9.616666667,41,197,9.6166667
DC_DD,9.666666667,41,198,9.6666667
PC_PD,9.716666667,41,199,9.7166667
PC_PD,9.733333333,41,200,9.7333333
DC_DD,9.766666667,41,201,9.7666667
DC_DD,9.95,41,202,9.9500000
DD_DC,9.983333333,41,203,9.9833333
SC_SD,10.03333333,41,204,10.0333333
SC_SD,10.08333333,41,205,10.0833333
SD_SC,10.15,41,206,10.1500000
DC_DD,10.28333333,41,207,10.2833333
SD_SC,10.33333333,41,208,10.3333333
PD_PC,10.35,41,209,10.3500000
DD_DC,10.41666667,41,210,10.4166667
DD_DC,10.46666667,41,211,10.4666667
PD_PC,10.53333333,41,212,10.5333333
PC_PD,10.56666667,41,213,10.5666667
ED_EC,10.68333333,41,214,10.6833333
ED_EC,10.71666667,41,215,10.7166667
PD_PC,10.78333333,41,216,10.7833333
SC_SD,10.78333333,41,217,10.7833334
EC_ED,10.8,41,218,10.8000000
PD_PC,10.8,41,219,10.8000001
ED_EC,10.83333333,41,220,10.8333333
PC_PD,10.9,41,221,10.9000000
EC_COM,10.93333333,41,222,10.9333333
DC_DD,10.98333333,41,223,10.9833333
DC_DD,11.03333333,41,224,11.0333333
SC_SD,11.05,41,225,11.0500000
PD_PC,11.06666667,41,226,11.0666667
DD_DC,11.11666667,41,227,11.1166667
DD_DC,11.25,41,228,11.2500000
DC_DD,11.26,41,229,11.2600000
SD_SC,11.31666667,41,230,11.3166667
DD_DC,11.31666667,41,231,11.3166668
DC_DD,11.31666667,41,232,11.3166669
SC_SD,11.36666667,41,233,11.3666667
DD_DC,11.4,41,234,11.4000000
SD_SC,11.5,41,235,11.5000000
PC_COM,11.51666667,41,236,11.5166667
DC_COM,11.61666667,41,237,11.6166667
SC_COM,11.61666667,41,238,11.6166668
SC_COM,11.63333333,41,239,11.6333333
SC_SD,11.66666667,41,240,11.6666667
DD_DC,11.68333333,41,241,11.6833333
SC_SD,11.73333333,41,242,11.7333333
SD_SC,11.81666667,41,243,11.8166667
DC_DD,11.88333333,41,244,11.8833333
DD_DC,11.91666667,41,245,11.9166667
DC_DD,11.98333333,41,246,11.9833333
DD_DC,12.11666667,41,247,12.1166667
DC_DD,12.15,41,248,12.1500000
SC_SD,12.15,41,249,12.1500001
DC_DD,12.16666667,41,250,12.1666667
DD_DC,12.18333333,41,251,12.1833333
DC_DD,12.25,41,252,12.2500000
EC_ED,12.26666667,41,253,12.2666667
ED_EC,12.33333333,41,254,12.3333333
SD_SC,12.35,41,255,12.3500000
DD_DC,12.38333333,41,256,12.3833333
DC_DD,12.41666667,41,257,12.4166667
DD_DC,12.43333333,41,258,12.4333333
DC_DD,12.43333333,41,259,12.4333334
EC_ED,12.46666667,41,260,12.4666667
SC_SD,12.56666667,41,261,12.5666667
DC_DD,12.6,41,262,12.6000000
DD_DC,12.65,41,263,12.6500000
SD_SC,12.68333333,41,264,12.6833333
SC_SD,12.7,41,265,12.7000000
SC_SD,12.76666667,41,266,12.7666667
SC_SD,12.86666667,41,267,12.8666667
SD_SC,13.01666667,41,268,13.0166667
DD_DC,13.05,41,269,13.0500000
SD_SC,13.06666667,41,270,13.0666667
DC_DD,13.13333333,41,271,13.1333333
SD_SC,13.33333333,41,272,13.3333333
DC_DD,13.4,41,273,13.4000000
DD_DC,13.5,41,274,13.5000000
SC_COM,13.53333333,41,275,13.5333333
EC_ED,13.61666667,41,276,13.6166667
DC_DD,13.65,41,277,13.6500000
DD_DC,13.7,41,278,13.7000000
SC_SD,13.88333333,41,279,13.8833333
SD_SC,13.96666667,41,280,13.9666667
SD_SC,14.03333333,41,281,14.0333333
PD_PC,14.23333333,41,282,14.2333333
PC_PD,14.31666667,41,283,14.3166667
SC_SD,14.38333333,41,284,14.3833333
SD_SC,14.46666667,41,285,14.4666667
SC_SD,14.5,41,286,14.5000000
SD_SC,14.6,41,287,14.6000000
PD_PC,14.85,41,288,14.8500000
DC_DD,14.86666667,41,289,14.8666667
DC_DD,15.15,41,290,15.1500000
DD_DC,15.21666667,41,291,15.2166667
SC_SD,15.35,41,292,15.3500000
PD_PC,15.35,41,293,15.3500001
DC_DD,15.36666667,41,294,15.3666667
DD_DC,15.48333333,41,295,15.4833333
PC_PD,15.48333333,41,296,15.4833334
DD_DC,15.51666667,41,297,15.5166667
SC_SD,15.56666667,41,298,15.5666667
DC_DD,15.65,41,299,15.6500000
SC_SD,15.68333333,41,300,15.6833333
DD_DC,15.71666667,41,301,15.7166667
SD_SC,15.75,41,302,15.7500000
PD_PC,15.76,41,303,15.7600000
PD_PC,15.9,41,304,15.9000000
SC_SD,15.93333333,41,305,15.9333333
SC_SD,16.55,41,306,16.5500000
SD_SC,16.65,41,307,16.6500000
SD_SC,17.1,41,308,17.1000000
SC_SD,17.16666667,41,309,17.1666667
SD_SC,17.28333333,41,310,17.2833333
SC_COM,17.35,41,311,17.3500000
SC_SD,17.45,41,312,17.4500000
EC_ED,17.5,41,313,17.5000000
SC_COM,17.53333333,41,314,17.5333333
EC_COM,17.65,41,315,17.6500000
PC_COM,17.71666667,41,316,17.7166667
SC_COM,17.8,41,317,17.8000000
EC_COM,17.91666667,41,318,17.9166667
SC_SD,18,41,319,18.0000000
SD_SC,18.15,41,320,18.1500000
SC_SD,18.6,41,321,18.6000000
SD_SC,18.75,41,322,18.7500000
SC_SD,18.96666667,41,323,18.9666667
DD_DC,0.183333333,42,324,0.1833333
PC_COM,0.3,42,325,0.3000000
SC_SD,0.333333333,42,326,0.3333333
DC_COM,0.366666667,42,327,0.3666667
PC_PD,0.383333333,42,328,0.3833333
SD_SC,0.416666667,42,329,0.4166667
DC_COM,0.516666667,42,330,0.5166667
SC_SD,0.55,42,331,0.5500000
DC_COM,0.633333333,42,332,0.6333333
PC_PD,0.766666667,42,333,0.7666667
SC_SD,0.883333333,42,334,0.8833333
DC_COM,0.9,42,335,0.9000000
PC_PD,0.916666667,42,336,0.9166667
SD_SC,1.033333333,42,337,1.0333333
PD_PC,1.033333333,42,338,1.0333334
PC_PD,1.066666667,42,339,1.0666667
SC_SD,1.066666667,42,340,1.0666668
DC_COM,1.083333333,42,341,1.0833333
DD_DC,1.15,42,342,1.1500000
PC_PD,1.266666667,42,343,1.2666667
DD_DC,1.283333333,42,344,1.2833333
DD_DC,1.383333333,42,345,1.3833333
DC_COM,1.416666667,42,346,1.4166667
DC_DD,1.483333333,42,347,1.4833333
PD_PC,1.5,42,348,1.5000000
DC_COM,1.53,42,349,1.5300000
DC_DD,1.533333333,42,350,1.5333333
PC_PD,1.566666667,42,351,1.5666667
DD_DC,1.583333333,42,352,1.5833333
DC_DD,1.633333333,42,353,1.6333333
DD_DC,1.683333333,42,354,1.6833333
PD_PC,1.716666667,42,355,1.7166667
DC_DD,1.75,42,356,1.7500000
PC_PD,1.76,42,357,1.7600000
EC_ED,1.933333333,42,358,1.9333333
DC_DD,1.966666667,42,359,1.9666667
PC_PD,1.983333333,42,360,1.9833333
ED_EC,2.016666667,42,361,2.0166667
DD_DC,2.05,42,362,2.0500000
SC_SD,2.116666667,42,363,2.1166667
EC_ED,2.116666667,42,364,2.1166668
DC_COM,2.133333333,42,365,2.1333333
DD_DC,2.3,42,366,2.3000000
DD_DC,2.333333333,42,367,2.3333333
PD_PC,2.35,42,368,2.3500000
SD_SC,2.383333333,42,369,2.3833333
PC_PD,2.383333333,42,370,2.3833334
DC_DD,2.4,42,371,2.4000000
PD_PC,2.433333333,42,372,2.4333333
EC_ED,2.45,42,373,2.4500000
DD_DC,2.466666667,42,374,2.4666667
ED_EC,2.666666667,42,375,2.6666667
EC_ED,2.733333333,42,376,2.7333333
SC_SD,2.75,42,377,2.7500000
DC_DD,2.76,42,378,2.7600000
ED_EC,2.766666667,42,379,2.7666667
SD_SC,2.816666667,42,380,2.8166667
EC_ED,2.883333333,42,381,2.8833333
SC_SD,2.95,42,382,2.9500000
DC_DD,3,42,383,3.0000000
SD_SC,3.066666667,42,384,3.0666667
DD_DC,3.1,42,385,3.1000000
SC_SD,3.133333333,42,386,3.1333333
SD_SC,3.183333333,42,387,3.1833333
ED_EC,3.366666667,42,388,3.3666667
DC_DD,3.416666667,42,389,3.4166667
EC_ED,3.466666667,42,390,3.4666667
ED_EC,3.516666667,42,391,3.5166667
PC_PD,3.516666667,42,392,3.5166668
DD_DC,3.55,42,393,3.5500000
SD_SC,3.566666667,42,394,3.5666667
PD_PC,3.583333333,42,395,3.5833333
DC_DD,3.583333333,42,396,3.5833334
SC_SD,3.616666667,42,397,3.6166667
DD_DC,3.683333333,42,398,3.6833333
SD_SC,3.683333333,42,399,3.6833334
DC_DD,3.766666667,42,400,3.7666667
PC_PD,3.8,42,401,3.8000000
SD_SC,3.866666667,42,402,3.8666667
DC_DD,4,42,403,4.0000000
SD_SC,4.05,42,404,4.0500000
SC_SD,4.116666667,42,405,4.1166667
DC_DD,4.133333333,42,406,4.1333333
SD_SC,4.183333333,42,407,4.1833333
DC_DD,4.2,42,408,4.2000000
DD_DC,4.233333333,42,409,4.2333333
DC_DD,4.283333333,42,410,4.2833333
SC_SD,4.35,42,411,4.3500000
PC_PD,4.533333333,42,412,4.5333333
PD_PC,4.55,42,413,4.5500000
PC_PD,4.6,42,414,4.6000000
PD_PC,4.616666667,42,415,4.6166667
DC_DD,4.633333333,42,416,4.6333333
PC_PD,4.666666667,42,417,4.6666667
DD_DC,4.683333333,42,418,4.6833333
DC_DD,4.8,42,419,4.8000000
DD_DC,4.916666667,42,420,4.9166667
DC_DD,5.016666667,42,421,5.0166667
DC_DD,5.1,42,422,5.1000000
SD_SC,5.1,42,423,5.1000001
SC_SD,5.15,42,424,5.1500000
PC_PD,5.151,42,425,5.1510000
SC_SD,5.216666667,42,426,5.2166667
DD_DC,5.283333333,42,427,5.2833333
SD_SC,5.3,42,428,5.3000000
SC_SD,5.35,42,429,5.3500000
SD_SC,5.366666667,42,430,5.3666667
EC_ED,5.366666667,42,431,5.3666668
ED_EC,5.4,42,432,5.4000000
DC_COM,5.433333333,42,433,5.4333333
SD_SC,5.466666667,42,434,5.4666667
DC_DD,5.666666667,42,435,5.6666667
DD_DC,5.816666667,42,436,5.8166667
PC_PD,5.933333333,42,437,5.9333333
PD_PC,6.033333333,42,438,6.0333333
DC_DD,6.066666667,42,439,6.0666667
DD_DC,6.133333333,42,440,6.1333333
EC_ED,6.15,42,441,6.1500000
SC_SD,6.2,42,442,6.2000000
ED_EC,6.216666667,42,443,6.2166667
DC_DD,6.316666667,42,444,6.3166667
PC_PD,6.333333333,42,445,6.3333333
PD_PC,6.366666667,42,446,6.3666667
DD_DC,6.416666667,42,447,6.4166667
SD_SC,6.45,42,448,6.4500000
SD_SC,6.5,42,449,6.5000000
PC_PD,6.533333333,42,450,6.5333333
SC_SD,6.683333333,42,451,6.6833333
SD_SC,6.75,42,452,6.7500000
SC_SD,6.766666667,42,453,6.7666667
DC_DD,6.85,42,454,6.8500000
DD_DC,6.95,42,455,6.9500000
SD_SC,7.033333333,42,456,7.0333333
SC_SD,7.066666667,42,457,7.0666667
PC_COM,7.133333333,42,458,7.1333333
SD_SC,7.15,42,459,7.1500000
SC_COM,7.216666667,42,460,7.2166667
DC_COM,7.216666667,42,461,7.2166668
PD_PC,7.283333333,42,462,7.2833333
PC_PD,7.383333333,42,463,7.3833333
DC_COM,7.45,42,464,7.4500000
DD_DC,7.466666667,42,465,7.4666667
DC_DD,7.466666667,42,466,7.4666668
SD_SC,7.483333333,42,467,7.4833333
SC_SD,7.533333333,42,468,7.5333333
DD_DC,7.583333333,42,469,7.5833333
SC_SD,7.716666667,42,470,7.7166667
PD_PC,7.816666667,42,471,7.8166667
PC_PD,7.883333333,42,472,7.8833333
DC_DD,7.933333333,42,473,7.9333333
PD_PC,8.1,42,474,8.1000000
PC_COM,8.5,42,475,8.5000000
SD_SC,8.566666667,42,476,8.5666667
EC_COM,8.583333333,42,477,8.5833333
DC_DD,8.583333333,42,478,8.5833334
SC_SD,8.616666667,42,479,8.6166667
DD_DC,8.65,42,480,8.6500000
SC_SD,8.933333333,42,481,8.9333333
SC_SD,9.083333333,42,482,9.0833333
DC_DD,9.1,42,483,9.1000000
DD_DC,9.166666667,42,484,9.1666667
DC_DD,9.316666667,42,485,9.3166667
DD_DC,9.466666667,42,486,9.4666667
SC_SD,9.7,42,487,9.7000000
SC_SD,9.9,42,488,9.9000000
SC_COM,10.05,42,489,10.0500000
PD_PC,10.06666667,42,490,10.0666667
SC_SD,0.65,51,491,0.6500000
ED_EC,0.683333333,51,492,0.6833333
EC_ED,0.683333333,51,493,0.6833334
PC_PD,0.7,51,494,0.7000000
PD_PC,0.75,51,495,0.7500000
ED_EC,0.76,51,496,0.7600000
PC_PD,0.8,51,497,0.8000000
PD_PC,1,51,498,1.0000000
ED_EC,1.1,51,499,1.1000000
SC_SD,1.133333333,51,500,1.1333333
PC_PD,1.2,51,501,1.2000000
EC_ED,1.233333333,51,502,1.2333333
DD_DC,1.266666667,51,503,1.2666667
PD_PC,1.266666667,51,504,1.2666668
ED_EC,1.3,51,505,1.3000000
PC_PD,1.316666667,51,506,1.3166667
DC_DD,1.366666667,51,507,1.3666667
SD_SC,1.4,51,508,1.4000000
EC_ED,1.416666667,51,509,1.4166667
SC_SD,1.45,51,510,1.4500000
PC_PD,1.483333333,51,511,1.4833333
SD_SC,1.5,51,512,1.5000000
EC_ED,1.666666667,51,513,1.6666667
EC_ED,1.783333333,51,514,1.7833333
SC_SD,1.783333333,51,515,1.7833334
SD_SC,1.866666667,51,516,1.8666667
ED_EC,1.866666667,51,517,1.8666668
SC_SD,2.05,51,518,2.0500000
PD_PC,2.166666667,51,519,2.1666667
EC_ED,2.2,51,520,2.2000000
SD_SC,2.25,51,521,2.2500000
DD_DC,2.45,51,522,2.4500000
ED_EC,2.483333333,51,523,2.4833333
EC_ED,2.533333333,51,524,2.5333333
DC_DD,2.55,51,525,2.5500000
ED_EC,2.65,51,526,2.6500000
PD_PC,2.683333333,51,527,2.6833333
EC_ED,2.783333333,51,528,2.7833333
ED_EC,2.866666667,51,529,2.8666667
EC_ED,2.916666667,51,530,2.9166667
SC_SD,2.966666667,51,531,2.9666667
EC_ED,3.033333333,51,532,3.0333333
PD_PC,3.083333333,51,533,3.0833333
PC_PD,3.183333333,51,534,3.1833333
SC_SD,3.4,51,535,3.4000000
DD_DC,3.45,51,536,3.4500000
ED_EC,3.533333333,51,537,3.5333333
EC_ED,3.583333333,51,538,3.5833333
DD_DC,3.583333333,51,539,3.5833334
DC_DD,3.65,51,540,3.6500000
ED_EC,3.7,51,541,3.7000000
